"member","variable","h","point","lo90","hi90","origin_date"
"combo_crps","unemp_rate",1,4.23050668038872,3.98706764000489,4.55566714175154,2026-01-01
"combo_crps","unemp_rate",2,4.26244933692049,3.83438694779487,4.83870327501926,2026-01-01
"combo_crps","unemp_rate",3,4.27428063375882,3.69573401303461,4.94848594340675,2026-01-01
"combo_crps","unemp_rate",4,4.31645921721901,3.6263756854376,5.09954893072609,2026-01-01
"combo_crps","unemp_rate",5,4.33380703416336,3.58307555854752,5.25676821868772,2026-01-01
"combo_crps","unemp_rate",6,4.36586248953302,3.53779786189187,5.39877992388218,2026-01-01
"combo_crps","unemp_rate",7,4.3928442352892,3.51567598521365,5.50945750651022,2026-01-01
"combo_crps","unemp_rate",8,4.43415087929505,3.49475231495968,5.4271386071518,2026-01-01
"combo_crps","unemp_rate",9,4.37779392443348,3.4222193952723,5.48162345687895,2026-01-01
"combo_crps","unemp_rate",10,4.47936826824673,3.26000345595943,5.68255101485981,2026-01-01
"combo_crps","unemp_rate",11,4.41114796595162,3.33370455496876,5.75405295732901,2026-01-01
"combo_crps","unemp_rate",12,4.49769726297991,3.25562213239171,5.8857066770564,2026-01-01
"combo_crps","cash_rate",1,3.86798214704968,3.35056153750616,4.35750746447579,2026-01-01
"combo_crps","cash_rate",2,3.9596107812622,3.09078735987656,4.76280656029477,2026-01-01
"combo_crps","cash_rate",3,3.88525388527976,2.8004234138545,4.99034976504205,2026-01-01
"combo_crps","cash_rate",4,3.85810621562445,2.55042390659771,5.11827625755865,2026-01-01
"combo_crps","cash_rate",5,3.84880299821781,2.21633214283919,5.52083012890981,2026-01-01
"combo_crps","cash_rate",6,3.93278243771541,2.01670501104496,5.60064205932931,2026-01-01
"combo_crps","cash_rate",7,3.82416539775175,2.05999519380515,5.84243419742392,2026-01-01
"combo_crps","cash_rate",8,3.7231933949932,1.80354663667523,5.75050857253687,2026-01-01
"combo_crps","cash_rate",9,3.84186099107702,1.58106090625569,6.15325514173569,2026-01-01
"combo_crps","cash_rate",10,3.80205480847477,1.60203125578994,6.03146857361712,2026-01-01
"combo_crps","cash_rate",11,3.85483107856077,1.63592953645793,6.15469002489285,2026-01-01
"combo_crps","cash_rate",12,3.78612603872104,1.24026951394887,6.01029146653395,2026-01-01
"combo_pool","gdp_growth",1,0.42938359152209,-0.458876254087489,1.27537662338445,2026-01-01
"combo_pool","gdp_growth",2,0.45507266905701,-0.924842245673008,1.35106044665184,2026-01-01
"combo_pool","gdp_growth",3,0.52048807388909,-0.352259073799661,1.40498635154961,2026-01-01
"combo_pool","gdp_growth",4,0.559833321295252,-0.332763816726738,1.51106304904347,2026-01-01
"combo_pool","gdp_growth",5,0.551642308963839,-0.590085821523526,1.5303042575146,2026-01-01
"combo_pool","gdp_growth",6,0.51886071669603,-0.515423240630165,1.45402973395244,2026-01-01
"combo_pool","gdp_growth",7,0.600253940318537,-0.448223225480112,1.51503330627187,2026-01-01
"combo_pool","gdp_growth",8,0.604564274983657,-0.407674240739878,1.96622926339506,2026-01-01
"combo_pool","gdp_growth",9,0.574906948890623,-0.457456536493616,1.66318417882696,2026-01-01
"combo_pool","gdp_growth",10,0.626335740964559,-0.341366670417258,1.65893821263687,2026-01-01
"combo_pool","gdp_growth",11,0.55864661109939,-0.529258827864318,1.55357129648507,2026-01-01
"combo_pool","gdp_growth",12,0.644801384490648,-0.50117525273103,1.76323086075188,2026-01-01
"combo_pool","cpi_inflation",1,0.814826103769795,0.522221728423022,1.08190639019484,2026-01-01
"combo_pool","cpi_inflation",2,0.791485641272577,0.474834016525919,1.15716969533545,2026-01-01
"combo_pool","cpi_inflation",3,0.767790640073305,0.379031529669466,1.15436650551866,2026-01-01
"combo_pool","cpi_inflation",4,0.751977526522963,0.311911226809415,1.23137310425573,2026-01-01
"combo_pool","cpi_inflation",5,0.755028424663206,0.295783936921879,1.25835606341745,2026-01-01
"combo_pool","cpi_inflation",6,0.74913752667,0.30377825214147,1.30663206751393,2026-01-01
"combo_pool","cpi_inflation",7,0.742409896696698,0.275458981319074,1.37327399978015,2026-01-01
"combo_pool","cpi_inflation",8,0.739762251644076,0.270790550556026,1.35686988758303,2026-01-01
"combo_pool","cpi_inflation",9,0.729249217760016,0.0181474314694617,1.5926811539211,2026-01-01
"combo_pool","cpi_inflation",10,0.721676483562062,-0.200605768663937,1.60940939422467,2026-01-01
"combo_pool","cpi_inflation",11,0.725010509675168,-0.108132768697595,1.75511296312482,2026-01-01
"combo_pool","cpi_inflation",12,0.713837118304984,-0.260261368848965,1.74637878849656,2026-01-01
"combo_pool","unemp_rate",1,4.2475849989753,3.95013847435289,4.52568285812338,2026-01-01
"combo_pool","unemp_rate",2,4.29115789238063,3.77800597649452,4.69787846299434,2026-01-01
"combo_pool","unemp_rate",3,4.29867489359926,3.63450144479041,5.00344918161113,2026-01-01
"combo_pool","unemp_rate",4,4.33294628932518,3.55939491236946,5.03664517296223,2026-01-01
"combo_pool","unemp_rate",5,4.32157315342851,3.50094920426765,5.13179081141527,2026-01-01
"combo_pool","unemp_rate",6,4.32551335916152,3.3616909100613,5.12207617134309,2026-01-01
"combo_pool","unemp_rate",7,4.36746281986797,3.29989089678391,5.3020130109269,2026-01-01
"combo_pool","unemp_rate",8,4.34189673784,3.35191550684318,5.30467441981145,2026-01-01
"combo_pool","unemp_rate",9,4.33772352704599,3.23751355320115,5.40534868135937,2026-01-01
"combo_pool","unemp_rate",10,4.33425104549741,3.3100048242724,5.29986480840396,2026-01-01
"combo_pool","unemp_rate",11,4.38221488302383,3.19058869228445,5.54279957660361,2026-01-01
"combo_pool","unemp_rate",12,4.27787384242137,3.12978746473903,5.58737926875443,2026-01-01
"combo_pool","cash_rate",1,3.88884988061327,3.3697632833219,4.33945366665568,2026-01-01
"combo_pool","cash_rate",2,3.91434340834979,3.12247644668585,4.62613205552497,2026-01-01
"combo_pool","cash_rate",3,3.93150979703676,3.02046500779533,5.01198070457511,2026-01-01
