"scheme","variable","bucket","origin","member","weight"
"equal","gdp_growth","medium",64,"small_ss",0.0833333333333333
"equal","gdp_growth","medium",64,"small_sv",0.0833333333333333
"equal","gdp_growth","medium",64,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","medium",64,"medium_minn",0.0833333333333333
"equal","gdp_growth","medium",64,"medium_conj",0.0833333333333333
"equal","gdp_growth","medium",64,"small_tight",0.0833333333333333
"equal","gdp_growth","medium",64,"small_unres",0.0833333333333333
"equal","gdp_growth","medium",64,"rw",0.0833333333333333
"equal","gdp_growth","medium",64,"ar4",0.0833333333333333
"equal","gdp_growth","medium",64,"ucsv",0.0833333333333333
"equal","gdp_growth","medium",64,"ucmean",0.0833333333333333
"equal","gdp_growth","far",64,"small_minn",0.0833333333333333
"equal","gdp_growth","far",64,"small_ss",0.0833333333333333
"equal","gdp_growth","far",64,"small_sv",0.0833333333333333
"equal","gdp_growth","far",64,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","far",64,"medium_minn",0.0833333333333333
"equal","gdp_growth","far",64,"medium_conj",0.0833333333333333
"equal","gdp_growth","far",64,"small_tight",0.0833333333333333
"equal","gdp_growth","far",64,"small_unres",0.0833333333333333
"equal","gdp_growth","far",64,"rw",0.0833333333333333
"equal","gdp_growth","far",64,"ar4",0.0833333333333333
"equal","gdp_growth","far",64,"ucsv",0.0833333333333333
"equal","gdp_growth","far",64,"ucmean",0.0833333333333333
"equal","gdp_growth","near",65,"small_minn",0.0833333333333333
"equal","gdp_growth","near",65,"small_ss",0.0833333333333333
"equal","gdp_growth","near",65,"small_sv",0.0833333333333333
"equal","gdp_growth","near",65,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",65,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",65,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",65,"small_tight",0.0833333333333333
"equal","gdp_growth","near",65,"small_unres",0.0833333333333333
"equal","gdp_growth","near",65,"rw",0.0833333333333333
"equal","gdp_growth","near",65,"ar4",0.0833333333333333
"equal","gdp_growth","near",65,"ucsv",0.0833333333333333
"equal","gdp_growth","near",65,"ucmean",0.0833333333333333
"equal","gdp_growth","medium",65,"small_minn",0.0833333333333333
"equal","gdp_growth","medium",65,"small_ss",0.0833333333333333
"equal","gdp_growth","medium",65,"small_sv",0.0833333333333333
"equal","gdp_growth","medium",65,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","medium",65,"medium_minn",0.0833333333333333
"equal","gdp_growth","medium",65,"medium_conj",0.0833333333333333
"equal","gdp_growth","medium",65,"small_tight",0.0833333333333333
"equal","gdp_growth","medium",65,"small_unres",0.0833333333333333
"equal","gdp_growth","medium",65,"rw",0.0833333333333333
"equal","gdp_growth","medium",65,"ar4",0.0833333333333333
"equal","gdp_growth","medium",65,"ucsv",0.0833333333333333
"equal","gdp_growth","medium",65,"ucmean",0.0833333333333333
"equal","gdp_growth","far",65,"small_minn",0.0833333333333333
"equal","gdp_growth","far",65,"small_ss",0.0833333333333333
"equal","gdp_growth","far",65,"small_sv",0.0833333333333333
"equal","gdp_growth","far",65,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","far",65,"medium_minn",0.0833333333333333
"equal","gdp_growth","far",65,"medium_conj",0.0833333333333333
"equal","gdp_growth","far",65,"small_tight",0.0833333333333333
"equal","gdp_growth","far",65,"small_unres",0.0833333333333333
"equal","gdp_growth","far",65,"rw",0.0833333333333333
"equal","gdp_growth","far",65,"ar4",0.0833333333333333
"equal","gdp_growth","far",65,"ucsv",0.0833333333333333
"equal","gdp_growth","far",65,"ucmean",0.0833333333333333
"equal","gdp_growth","near",66,"small_minn",0.0833333333333333
"equal","gdp_growth","near",66,"small_ss",0.0833333333333333
"equal","gdp_growth","near",66,"small_sv",0.0833333333333333
"equal","gdp_growth","near",66,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","near",66,"medium_minn",0.0833333333333333
"equal","gdp_growth","near",66,"medium_conj",0.0833333333333333
"equal","gdp_growth","near",66,"small_tight",0.0833333333333333
"equal","gdp_growth","near",66,"small_unres",0.0833333333333333
"equal","gdp_growth","near",66,"rw",0.0833333333333333
"equal","gdp_growth","near",66,"ar4",0.0833333333333333
"equal","gdp_growth","near",66,"ucsv",0.0833333333333333
"equal","gdp_growth","near",66,"ucmean",0.0833333333333333
"equal","gdp_growth","medium",66,"small_minn",0.0833333333333333
"equal","gdp_growth","medium",66,"small_ss",0.0833333333333333
"equal","gdp_growth","medium",66,"small_sv",0.0833333333333333
"equal","gdp_growth","medium",66,"small_loose_p5",0.0833333333333333
"equal","gdp_growth","medium",66,"medium_minn",0.0833333333333333
"equal","gdp_growth","medium",66,"medium_conj",0.0833333333333333
"equal","gdp_growth","medium",66,"small_tight",0.0833333333333333
"equal","gdp_growth","medium",66,"small_unres",0.0833333333333333
"equal","gdp_growth","medium",66,"rw",0.0833333333333333
"equal","gdp_growth","medium",66,"ar4",0.0833333333333333
